exo-mercat_name,name,host,letter,main_id,binary,ra_official,dec_official,mass,mass_max,mass_min,mass_url,msini,msini_max,msini_min,msini_url,bestmass,bestmass_max,bestmass_min,bestmass_url,bestmass_provenance,p,p_max,p_min,p_url,r,r_max,r_min,r_url,a,a_max,a_min,a_url,e,e_max,e_min,e_url,i,i_max,i_min,i_url,discovery_method,status,status_string,confirmed,discovery_year,final_alias,catalog,angular_separation,angular_separation_flag,binary_mismatch_flag,coordinate_mismatch,coordinate_mismatch_flag,duplicate_flag
HD  50571  b,HR 2562 b,HR 2562,b,HD  50571,,102.504226375,-60.2491437951,,,,,,,,,,,,,Mass,,,,,,,,,21.2,0.3,0.3,eu,,,,,,,,,Imaging,CONFIRMED,eu: CONFIRMED,1,2016.0,"SKY# 12067,uvby98 100050571,TIC 167656187,TYC 8895-1455-1,UBV M  12555,UCAC4 149-008416,GSC 08895-01455,Gaia DR1 5480006188089954560,SAO 249654,HIC  32775,WISE J065001.03-601455.8,HD  50571,HIP  32775,CD-60  1582,UBV    6818,[TDQ2000] SRX 14,CPD-60   712,WISEA J065001.03-601455.8,PPM 355638,HR  2562,1RXS J065000.0-601459,CPC 20.1  1642,GEN# +1.00050571,GC  8987,Gaia DR2 5480006192386819456,2MASS J06500102-6014569,N30 1494,TD1  8447,Gaia DR3 5480006192386819456,IRAS 06493-6011",['eu'],[0.0],0,0,,0,0
HD 120066  b,HR 5183 b,HR 5183,b,HD 120066,,206.737500019,6.349722242,3.23,0.15,0.14,oec,3.23,0.14,0.14,eu,3.23,0.14,0.14,eu,Msini,27400.0,11000.0,11000.0,eu,,,,,18.0,6.0,4.0,2019AJ....158..181B,0.84,0.04,0.04,2019AJ....158..181B,,,,,Radial Velocity,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2019.0,"VVO 215,2MASS J13465711+0621013,HIP  67246,ROT  1995,Gaia DR3 3721126409323324416,BD+07  2690,SAO 120108,[B10]  3554,HD 120066,HIP 67246,AG+06 1648,AGKR 12312,HIC  67246,WEB 11833,Gaia DR2 3721126409323324416,TD1 17051,NLTT 35210,SKY# 25287,WISEA J134656.76+062059.8,UBV M  19712,LSPM J1346+0621,SPOCS  576,GC 18625,TIC 379117362,GCRV  8133,ASCC 1045976,HR  5183,LHS  2798,uvby98 100120066 A,YZ   6  6504,PPM 160046,TYC 314-1369-1,PLX 3140,PM 13445+0636,LFT 1036,GEN# +1.00120066A,UBV   12300,Ci 20  805,IRAS 13444+0635,TYC  314-1369-1,LTT 14020,USNO-B1.0 0963-00225730","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
* iot Hor  b,HR 810 b,HR 810,b,* iot Hor,,40.63944333333333,-50.8033333,,,,,2.26,0.18,0.18,eu,2.26,0.18,0.18,eu,Msini,320.1,2.1,2.1,eu,,,,,0.92,0.02,0.02,2017AJ....153..136S,0.161,0.069,0.069,eu,,,,,Radial Velocity,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,1999.0,"HR   810,SAO 232864,Gaia DR2 4745373133284418816,LTT  1322,TIC 166853853,NLTT  8800,* iot Hor,HIP 12653,GC  3279,CD-51   641,CPD-51   330,PPM 332074,1RXS J024233.5-504756,[TDQ2000] ERX 38,IRAS 02408-5100,GJ   108,uvby98 100017051,UBV M   9126,UBV    2716,TYC 8056-1164-1,Gaia DR1 4745373128987792640,PLX  557.00,HD 17051,WISEA J024233.84-504758.7,HD  17051,GEN# +1.00017051,SPOCS  136,CPC  0  1285,PLX  557,2MASS J02423346-5048008,Gaia DR3 4745373133284418816,GCRV  1540,HIC  12653,RBS   346,HIP  12653,TD1  1626,SKY#  4058,GJ 108,WEB  2575","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD  17926  b,HR 858 b,HR 858,b,HD  17926,,42.9849779,-30.8140609,,,,,,,,,,,,,Mass,3.58599,0.00015,0.00015,2019ApJ...881L..19V,0.186,0.006,0.006,2019ApJ...881L..19V,0.048,0.001,0.001,eu,,,,,85.5,1.5,0.5,2019ApJ...881L..19V,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2019.0,"Gaia DR1 5064574720469473792,AKARI-IRC-V1 J0251563-304851,CPD-31   335,CD-31  1148,Gaia DR2 5064574720469473792,IRAS 02498-3101,PPM 278444,GEN# +1.00017926,HIP  13363,2MASS J02515623-3048524,HD 17926,TIC 178155732,CPC 17  1009,SKY#  4300,TYC 7012-833-1,UBV M   9202,HIC  13363,SAO 193951,HIP 13363,N30  590,uvby98 100017926,HR   858,UBV    2796,GSC 07012-00833,WEB  2676,GCRV 53531,Gaia DR3 5064574724769475968,SRS  40509,GC  3443,TOI-396,HD  17926","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD  17926  c,HR 858 c,HR 858,c,HD  17926,,42.983333352,-30.814444472,,,,,,,,,,,,,Mass,5.97293,0.0006,0.00053,2019ApJ...881L..19V,0.173,0.006,0.006,2019ApJ...881L..19V,0.0674,0.0014,0.0016,2019ApJ...881L..19V,,,,,86.23,0.26,0.26,2019ApJ...881L..19V,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2019.0,"Gaia DR1 5064574720469473792,AKARI-IRC-V1 J0251563-304851,CPD-31   335,CD-31  1148,Gaia DR2 5064574720469473792,IRAS 02498-3101,PPM 278444,GEN# +1.00017926,HIP  13363,2MASS J02515623-3048524,HD 17926,TIC 178155732,CPC 17  1009,SKY#  4300,TYC 7012-833-1,UBV M   9202,HIC  13363,SAO 193951,HIP 13363,N30  590,uvby98 100017926,HR   858,UBV    2796,GSC 07012-00833,WEB  2676,GCRV 53531,Gaia DR3 5064574724769475968,SRS  40509,GC  3443,TOI-396,HD  17926","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD  17926  d,HR 858 d,HR 858,d,HD  17926,,42.983333352,-30.814444472,,,,,,,,,,,,,Mass,11.23,0.0011,0.001,2019ApJ...881L..19V,0.19306,0.00767,0.00767,eu,0.1027,0.0022,0.0025,2019ApJ...881L..19V,,,,,87.43,0.18,0.19,2019ApJ...881L..19V,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2019.0,"Gaia DR1 5064574720469473792,AKARI-IRC-V1 J0251563-304851,CPD-31   335,CD-31  1148,Gaia DR2 5064574720469473792,IRAS 02498-3101,PPM 278444,GEN# +1.00017926,HIP  13363,2MASS J02515623-3048524,HD 17926,TIC 178155732,CPC 17  1009,SKY#  4300,TYC 7012-833-1,UBV M   9202,HIC  13363,SAO 193951,HIP 13363,N30  590,uvby98 100017926,HR   858,UBV    2796,GSC 07012-00833,WEB  2676,GCRV 53531,Gaia DR3 5064574724769475968,SRS  40509,GC  3443,TOI-396,HD  17926","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD 218396  b,HR 8799 b,HR 8799,b,HD 218396,,346.869646125,21.1341667,7.0,4.0,2.0,2008Sci...322.1348M,,,,,7.0,4.0,2.0,2008Sci...322.1348M,Mass,166510.0,9022.0,9022.0,oec,1.2,0.1,0.1,2008Sci...322.1348M,67.96,1.85,1.85,oec,,,,,30.27,4.95,4.95,2016A&A...587A..57Z,Imaging,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2008.0,"CSI+20  5278  1,V* V342 Peg,TYC 1718-2350-1,V342 Peg,GSC 01718-02350,UBV M  26845,IRAS 23050+2051,Gaia DR1 2832463655344301952,BD+20 5278,** CLO   11A,SAO  91022,SAO 91022,PPM 115157,TIC 245368902,Gaia DR2 2832463659640297472,HR  8799A,FK5 3850,1RXS J230729.0+210802,TD1 29627,AG+20 2610,SKY# 43895,GCRV 14514,WDS J23075+2108A,WISEA J230728.79+210802.7,HIP 114189,AKARI-IRC-V1 J2307287+210802,GEN# +1.00218396,GC 32209,YZ  20  8860,** LWR   19A,uvby98 100218396,HD 218396,YPAC 268,WEB 20279,BD+20  5278,HIC 114189,HR  8799,** MAR    1Aa,WISE J230728.78+210802.8,Gaia DR3 2832463659640297472,2MASS J23072869+2108033,WDS J23075+2108Aa,V342 Pegasi","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD 218396  c,HR 8799 c,HR 8799,c,HD 218396,,346.869646125,21.1341667,8.3,0.6,0.6,eu,,,,,8.3,0.6,0.6,eu,Mass,83255.0,4511.0,4511.0,oec,1.3,0.0,0.0,eu,42.81,1.16,1.16,oec,,,,,29.43,0.35,0.35,2016A&A...587A..57Z,Imaging,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2008.0,"CSI+20  5278  1,V* V342 Peg,TYC 1718-2350-1,V342 Peg,GSC 01718-02350,UBV M  26845,IRAS 23050+2051,Gaia DR1 2832463655344301952,BD+20 5278,** CLO   11A,SAO  91022,SAO 91022,PPM 115157,TIC 245368902,Gaia DR2 2832463659640297472,HR  8799A,FK5 3850,1RXS J230729.0+210802,TD1 29627,AG+20 2610,SKY# 43895,GCRV 14514,WDS J23075+2108A,WISEA J230728.79+210802.7,HIP 114189,AKARI-IRC-V1 J2307287+210802,GEN# +1.00218396,GC 32209,YZ  20  8860,** LWR   19A,uvby98 100218396,HD 218396,YPAC 268,WEB 20279,BD+20  5278,HIC 114189,HR  8799,** MAR    1Aa,WISE J230728.78+210802.8,Gaia DR3 2832463659640297472,2MASS J23072869+2108033,WDS J23075+2108Aa,V342 Pegasi","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD 218396  d,HR 8799 d,HR 8799,d,HD 218396,,346.8701486,21.13425147222222,8.3,0.6,0.6,eu,,,,,8.3,0.6,0.6,eu,Mass,41628.0,2257.0,2257.0,oec,1.2,0.0,0.0,eu,26.97,0.73,0.73,oec,,,,,38.63,2.84,2.84,2016A&A...587A..57Z,Imaging,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2008.0,"CSI+20  5278  1,V* V342 Peg,TYC 1718-2350-1,V342 Peg,GSC 01718-02350,UBV M  26845,IRAS 23050+2051,Gaia DR1 2832463655344301952,BD+20 5278,** CLO   11A,SAO  91022,SAO 91022,PPM 115157,TIC 245368902,Gaia DR2 2832463659640297472,HR  8799A,FK5 3850,1RXS J230729.0+210802,TD1 29627,AG+20 2610,SKY# 43895,GCRV 14514,WDS J23075+2108A,WISEA J230728.79+210802.7,HIP 114189,AKARI-IRC-V1 J2307287+210802,GEN# +1.00218396,GC 32209,YZ  20  8860,** LWR   19A,uvby98 100218396,HD 218396,YPAC 268,WEB 20279,BD+20  5278,HIC 114189,HR  8799,** MAR    1Aa,WISE J230728.78+210802.8,Gaia DR3 2832463659640297472,2MASS J23072869+2108033,WDS J23075+2108Aa,V342 Pegasi","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
HD 218396  e,HR 8799 e,HR 8799,e,HD 218396,,346.8701486,21.13425147222222,9.6,1.9,1.9,eu,,,,,9.6,1.9,1.9,eu,Mass,20815.6,1128.62,1128.62,2016A&A...587A..57Z,1.17,0.13,0.11,2010Natur.468.1080M,16.99,0.46,0.46,oec,0.15,0.08,0.08,2019A&A...623L..11G,30.95,1.43,1.43,oec,Imaging,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2010.0,"CSI+20  5278  1,V* V342 Peg,TYC 1718-2350-1,V342 Peg,GSC 01718-02350,UBV M  26845,IRAS 23050+2051,Gaia DR1 2832463655344301952,BD+20 5278,** CLO   11A,SAO  91022,SAO 91022,PPM 115157,TIC 245368902,Gaia DR2 2832463659640297472,HR  8799A,FK5 3850,1RXS J230729.0+210802,TD1 29627,AG+20 2610,SKY# 43895,GCRV 14514,WDS J23075+2108A,WISEA J230728.79+210802.7,HIP 114189,AKARI-IRC-V1 J2307287+210802,GEN# +1.00218396,GC 32209,YZ  20  8860,** LWR   19A,uvby98 100218396,HD 218396,YPAC 268,WEB 20279,BD+20  5278,HIC 114189,HR  8799,** MAR    1Aa,WISE J230728.78+210802.8,Gaia DR3 2832463659640297472,2MASS J23072869+2108033,WDS J23075+2108Aa,V342 Pegasi","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
V* HU Aqr AB b,HU Aqr (AB) b,HU Aqr,b,V* HU Aqr,AB,316.9916667,-5.2948694,,,,,,,,,,,,,Mass,2390.0,4.0,4.0,2011MNRAS.414L..16Q,,,,,3.6,0.8,0.8,2011MNRAS.414L..16Q,0.03,0.04,0.04,eu,,,,,NA,CONFIRMED,"eu: CONFIRMED,oec: CANDIDATE,nasa: CONFIRMED",2,2009.0,"Gaia DR3 6911950900211768704,UCAC4 424-128416,1AXG J210759-0518,2MASS J21075818-0517404,RE J210755-051621,RBS  1724,2RE J2107-051,1RXS J210758.5-051744,WISEA J210758.14-051741.1,CRTS J210758.1-051741,EUVE J2108-05.2,[FS2003] 1106,RX J2107.9-0518,2XMM J210758.1-051740,TIC 364173220,RE J2107-05,ATO J316.9922-05.2948,RE J2107-051,Gaia DR2 6911950900211768704,RX J2107.9-0517,WISE J210758.14-051741.0,PM J21079-0517,2RE J210755-051630,V* HU Aqr,AAVSO 2102-05","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
V* HU Aqr AB c,HU Aqr (AB) c,HU Aqr,c,V* HU Aqr,AB,316.9916667,-5.2947222,5.9,0.1,0.1,eu,,,,,5.9,0.1,0.1,eu,Mass,5646.0,8.0,8.0,eu,,,,,5.4,0.9,0.9,2011MNRAS.414L..16Q,0.29,0.03,0.03,eu,,,,,NA,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED",2,2011.0,"Gaia DR3 6911950900211768704,UCAC4 424-128416,1AXG J210759-0518,2MASS J21075818-0517404,RE J210755-051621,RBS  1724,2RE J2107-051,1RXS J210758.5-051744,WISEA J210758.14-051741.1,CRTS J210758.1-051741,EUVE J2108-05.2,[FS2003] 1106,RX J2107.9-0518,2XMM J210758.1-051740,TIC 364173220,RE J2107-05,ATO J316.9922-05.2948,RE J2107-051,Gaia DR2 6911950900211768704,RX J2107.9-0517,WISE J210758.14-051741.0,PM J21079-0517,2RE J210755-051630,V* HU Aqr,AAVSO 2102-05","['eu', 'nasa']",[0.0],0,0,,0,0
BD-07  3477 AB b,HW Vir (AB) b,HW Vir,b,BD-07  3477,AB,191.08432212499997,-8.67134272222222,,,,,,,,,,,,,Mass,,,,,,,,,,,,,,,,,,,,,Pulsar Timing,CANDIDATE,oec: CANDIDATE,0,2008.0,"uvby98 -000703477 V,V* HW Vir,Gaia DR3 3675067076961979264,TD1 31073,1SWASP J124420.23-084016.8,GSC 05528-00629,PPM 195791,PG 1241-084,TIC 156618553,BD-07  3477,Gaia DR2 3675067076961979264,[TFW97] J124420.24-084016.87,UCAC4 407-055365,NSVS  15972828,HIP  62157,HIC  62157,TYC 5528-629-1,2MASS J12442024-0840168,HE 1241-0823",['oec'],[0.0],0,0,,0,0
CD-49 11404  b,IC 4651 9122 b,IC 4651 9122,b,CD-49 11404,,261.2083333333333,-49.94888888888889,6.3,0.5,0.5,oec,6.3,0.5,0.5,2018A&A...620A.139L,6.3,0.5,0.5,oec,Mass,734.0,8.1,8.1,2018A&A...620A.139L,,,,,2.038,0.039,0.039,2018A&A...620A.139L,0.18,0.09,0.09,2018A&A...620A.139L,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2018.0,"CD-49 11404,RAVE J172450.1-495656,Cl* IC 4651    EGG      58,GEN# +3.46510027,Cl* IC 4651    MMU    9122,TYC 8349-3909-1,Gaia DR3 5949553973093167104,TIC 214416505,Gaia DR2 5949553973093167104,2MASS J17245007-4956561,Cl* IC 4651    MEI    9122,GSC 08349-03909,uvby98 346510027,RAVE J172450.2-495656,IC 4651   27","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
PM J14332+1011  b,J1433 b,J1433,b,PM J14332+1011,,218.325000006,10.189722231,,,,,,,,,,,,,Mass,,,,,,,,,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2016.0,SDSS 17.78+101123.,['eu'],[0.0008809484794635626],0,0,,0,0
Kepler-1658  b,K00004 b,Kepler-1658,b,Kepler-1658,,294.356546,38.947376,5.88,0.47,0.46,2019AJ....157..192C,,,,,5.88,0.47,0.46,2019AJ....157..192C,Mass,3.84937278,8e-07,8e-07,2019AJ....157..192C,1.07,0.05,0.05,2019AJ....157..192C,0.0544,0.0007,0.0007,2019AJ....157..192C,0.0628,0.0197,0.0185,2019AJ....157..192C,76.52,0.58,0.59,2019AJ....157..192C,Transit,CONFIRMED,"eu: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2017.0,"K00004.01,WISE J193725.57+385650.4,AP J19372557+3856505,Gaia DR2 2052194374009877376,2MASS J19372557+3856505,TYC 3135-652-1,TIC 377873569,Kepler-1658,Gaia DR1 2052194369704987136,KIC 3861595,KOI-4,Gaia DR3 2052194374009877376","['eu', 'nasa', 'oec']",[0.0],0,0,,0,1
KOI-5  b,K00005 b,2MASS J19185753+4438507,b,KOI-5,,289.73972,44.647419,,,,,,,,,,,,,Mass,4.780327766,8.76e-07,8.76e-07,eu,0.631,0.015,0.015,eu,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,eu: CANDIDATE",1,2013.0,"TIC 159107668,TOI-1241,AP J19185753+4438507,KIC 8554498,SPOCS 3054,Gaia DR2 2126945668448657664,8554498,Gaia DR3 2126945668448657664,2MASS J19185753+4438507,KOI-5",['eu'],[0.0],0,0,,0,1
KOI-5  c,K00005 c,2MASS J19185753+4438507,c,KOI-5,,289.73972,44.647419,,,,,,,,,,,,,Mass,,,,,,,,,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"TIC 159107668,TOI-1241,AP J19185753+4438507,KIC 8554498,SPOCS 3054,Gaia DR2 2126945668448657664,8554498,Gaia DR3 2126945668448657664,2MASS J19185753+4438507,KOI-5",['eu'],[0.0],0,0,,0,0
KOI-19  b,K00019 b,2MASS J18434653+4250211,b,KOI-19,,280.94385,42.839184,,,,,,,,,,,,,Mass,1.203200978,1.08e-07,1.08e-07,eu,2.955,0.622,0.521,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"7255336,TIC 123201406,2MASS J18434653+4250211,KOI-19,Gaia DR1 2116757177086515968,Gaia DR2 2116757177086515968,TYC 3126-696-1,KIC 7255336,Gaia DR3 2116757177086515968",['eu'],[0.0],0,0,,0,0
KOI-25  b,K00025 b,2MASS J19170279+4748558,b,KOI-25,,289.26166,47.815521,,,,,,,,,,,,,Mass,3.13260497,3.25e-07,3.25e-07,eu,2.002,1.259,0.275,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"2MASS J19170279+4748558,Gaia DR2 2127940314153495680,KIC 10593759,KOI-25,10593759,Gaia DR3 2127940314153495680,AP J19170279+4748558,TIC 158984684",['eu'],[0.0],0,0,,0,0
KOI-48  b,K00048 b,2MASS J19461293+4332354,b,KOI-48,,296.55386,43.543179,,,,,,,,,,,,,Mass,23.83680534,1.509e-05,1.509e-05,eu,18.566,7.082,7.8,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"KOI-48,2MASS J19461293+4332354,KIC 7837302,TIC 272487856,Gaia DR3 2078791800800044288,7837302,Gaia DR2 2078791800800044288",['eu'],[0.0],0,0,,0,0
KOI-51  b,K00051 b,2MASS J19434041+4119554,b,KOI-51,,295.91885,41.332432,,,,,,,,,,,,,Mass,10.43114796,2.695e-06,2.695e-06,eu,4.441,0.0,0.0,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"Gaia DR3 2077023717382584576,TIC 184250395,KIC 6056992,2MASS J19434041+4119554,KOI-51,Gaia DR2 2077023717382584576,6056992",['eu'],[0.0],0,0,,0,0
KOI-64  b,K00064 b,2MASS J19460253+4232508,b,KOI-64,,296.51059,42.54744,,,,,,,,,,,,,Mass,1.95108234,1.011e-06,1.011e-06,eu,0.918,0.027,0.027,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"Gaia DR2 2077202044425286400,7051180,2MASS J19460253+4232508,KOI-64,SPOCS 3105,TIC 272484616,Gaia DR3 2077202044425286400,KIC 7051180",['eu'],[0.0],0,0,,0,0
BD+42  3339  b,K00075 b,2MASS J19255933+4243425,b,BD+42  3339,,291.49722,42.728481,,,,,,,,,,,,,Mass,105.8823928,0.0002515,0.0002515,eu,0.937,0.022,0.021,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"AP J19255933+4243425,TYC 3142-756-1,KOI-75,Gaia DR3 2125795166969907968,GAT  787,Gaia DR2 2125795166969907968,BD+42  3339,uvby98 004203339,2MASS J19255933+4243425,KIC 7199397,TIC 159767194,Gaia DR1 2125795162667382400,GSC 03142-00756,SPOCS 3068,7199397",['eu'],[0.0],0,0,,0,0
KOI-76  b,K00076 b,2MASS J19341007+4649197,b,KOI-76,,293.54199,46.82214,,,,,,,,,,,,,Mass,77.4797188,0.0001632,0.0001632,eu,0.733,0.278,0.235,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"Gaia DR1 2128195327832597120,2MASS J19341007+4649197,GSC 03556-00090,TYC 3556-90-1,Gaia DR3 2128195327832597120,KOI-76,KIC 9955262,9955262,TIC 270619211,Gaia DR2 2128195327832597120",['eu'],[0.0],0,0,,0,0
KOI-92  b,K00092 b,2MASS J18532995+4347176,b,KOI-92,,283.3748873,43.7883708,,,,,,,,,,,,,Mass,65.70460002,8.816e-05,8.816e-05,eu,0.229,0.041,0.011,eu,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED",2,2017.0,"SPOCS 2165,KIC 7941200,AP J18532995+4347176,TIC 164464070,SPOCS 3746,Gaia DR1 2105135854577044480,7941200,KOI-92,Gaia DR3 2105135854577044480,2MASS J18532995+4347176,Gaia DR2 2105135854577044480,TYC 3131-1498-1","['eu', 'nasa']",[0.0],0,0,,0,0
KOI-99  b,K00099 b,2MASS J19414423+4431520,b,KOI-99,,295.43433,44.53112,,,,,,,,,,,,,Mass,,,,,0.278,0.014,0.017,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"TIC 271666873,Gaia DR2 2079664813030608640,KIC 8505215,2MASS J19414423+4431520,8505215,KOI-99,SPOCS 3100,Gaia DR3 2079664813030608640",['eu'],[0.0],0,0,,0,0
KOI-100  b,K00100 b,2MASS J19244270+3911581,b,KOI-100,,291.17792,39.19949,,,,,,,,,,,,,Mass,9.96640145,1.003e-05,1.003e-05,eu,1.538,0.213,0.292,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"TIC 137093180,Gaia DR2 2052966437324422272,KOI-100,KIC 4055765,4055765,2MASS J19244270+3911581,AP J19244270+3911581,Gaia DR3 2052966437324422272",['eu'],[0.0],0,0,,0,0
KOI-102  b,K00102 b,2MASS J19584914+4426087,b,KOI-102,,299.70474,44.435749,,,,,,,,,,,,,Mass,1.735136026,2.84e-07,2.84e-07,eu,0.335,0.058,0.047,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"Gaia DR1 2076121598145858944,8456679,Gaia DR2 2076121602454770560,2MASS J19584914+4426087,SPOCS 3806,KOI-102,TIC 269119490,TYC 3149-1280-1,Gaia DR3 2076121602454770560,KIC 8456679",['eu'],[0.0],0,0,,0,0
KOI-103  b,K00103 b,2MASS J19264400+3745057,b,KOI-103,,291.6833333333333,37.7514726,,,,,,,,,,,,,Mass,14.91094205,1.154e-05,1.154e-05,eu,0.227,0.037,0.008,eu,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2017.0,"2444412,AP J19264400+3745057,2MASS J19264400+3745057,Gaia DR2 2051808789021826432,TIC 137316027,SPOCS 3072,KIC 2444412,KOI-103,Gaia DR3 2051808789021826432","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-105  d,K00115 d,Kepler-105,d,Kepler-105,,287.8872975,46.27621802777778,,,,,,,,,,,,,Mass,3.4358789,3.47e-05,3.47e-05,eu,0.0023,0.00013,0.00013,oec,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CANDIDATE",1,2013.0,"Gaia DR3 2130368310704421120,KOI-115.02,K00115.02,WISE J191132.93+461634.0,Gaia DR2 2130368310704421120,Kepler-105,UCAC4 682-065856,KIC 9579641,K00115.01,SPOCS 3965,TIC 158625964,2MASS J19113295+4616344,KOI-115.01,KOI-115","['eu', 'oec']",[0.0],0,0,,0,0
KOI-130  b,K00130 b,2MASS J19492647+4025473,b,KOI-130,,297.36032,40.42981,,,,,,,,,,,,,Mass,34.193598286,3.537e-06,3.537e-06,eu,1.987,0.48,0.429,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"KOI-130,TIC 169459587,Gaia DR3 2073737036615242240,2MASS J19492647+4025473,5297298,Gaia DR2 2073737036615242240,KIC 5297298",['eu'],[0.0],0,0,,0,0
KOI-136  b,K00136 b,2MASS J19192963+4312138,b,KOI-136,,289.87347,43.203838,,,,,,,,,,,,,Mass,15.66388467,4.201e-06,4.201e-06,eu,2.092,0.291,0.392,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"2MASS J19192963+4312138,Gaia DR2 2102788126675218048,7601633,Gaia DR3 2102788126675218048,KIC 7601633,KOI-136,TIC 159180492",['eu'],[0.0],0,0,,0,0
KOI-138  b,K00138 b,2MASS J19434581+4434420,b,KOI-138,,295.94092,44.57835,,,,,,,,,,,,,Mass,48.93787615,1.932e-05,1.932e-05,eu,2.34,1.18,0.617,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"Gaia DR3 2079654161511952000,8506766,KIC 8506766,2MASS J19434581+4434420,TIC 271970252,Gaia DR2 2079654161511952000,KOI-138",['eu'],[0.0],0,0,,0,0
KOI-141  b,K00141 b,2MASS J19120919+5039057,b,KOI-141,,288.0383,50.651611,,,,,,,,,,,,,Mass,2.624234598,4.07e-07,4.07e-07,eu,0.459,0.075,0.017,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"KOI-141,TIC 298897095,SPOCS 4287,UCAC4 704-062061,KIC 12105051,12105051,WDS J19122+5039AB,** KOI  141,2MASS J19120919+5039057",['eu'],[0.0],0,0,,0,0
KOI-145  b,K00145 b,2MASS J19471625+4646534,b,KOI-145,,296.81772,46.781509,,,,,,,,,,,,,Mass,102.9639386,0.0006086,0.0006086,eu,3.558,0.176,0.698,eu,,,,,,,,,,,,,Transit,CONFIRMED,eu: CONFIRMED,1,2017.0,"KIC 9904059,Gaia DR2 2080340806523319168,SPOCS 3109,Gaia DR3 2080340806523319168,9904059,KOI-145,TIC 272838698,2MASS J19471625+4646534",['eu'],[0.0],0,0,,0,0
